LSOA Code,Total
E01002094,6
E01002095,20
E01002096,5
E01002097,13
E01002098,21
E01002099,17
E01002100,27
E01002101,6
E01002102,15
E01002103,16
E01002104,11
E01002105,103
E01002106,3
E01002107,3
E01002108,1
E01002109,1
E01002110,3
E01002111,8
E01002112,7
E01002113,3
E01002114,5
E01002116,1
E01002118,13
E01002119,10
E01002120,3
E01002121,1
E01002122,2
E01002123,9
E01002124,1
E01002125,4
E01002127,7
E01002128,9
E01002129,442
E01002130,169
E01002131,2
E01002132,8
E01002133,11
E01002135,7
E01002136,20
E01002137,18
E01002139,1
E01002140,10
E01002141,2
E01002142,21
E01002144,7
E01002145,4
E01002146,2
E01002147,2
E01002148,3
E01002150,14
E01002151,3
E01002153,2
E01002155,2
E01002156,1
E01002157,33
E01002158,1
E01002159,5
E01002160,17
E01002161,9
E01002162,5
E01002163,3
E01002164,8
E01002165,6
E01002166,5
E01002167,2
E01002168,3
E01002169,7
E01002170,3
E01002171,2
E01002172,1
E01002174,4
E01002175,8
E01002176,7
E01002177,4
E01002179,27
E01002181,7
E01002182,6
E01002183,3
E01002184,3
E01002185,2
E01002186,7
E01002187,3
E01002188,1
E01002189,41
E01002191,3
E01002192,7
E01002193,14
E01002194,1
E01002198,1
E01002199,2
E01002200,1
E01002201,1
E01002202,9
E01002203,2
E01002204,23
E01002206,2
E01002208,1
E01002209,25
E01002210,5
E01002211,2
E01002212,4
E01002214,6
E01002215,9
E01002216,6
E01002217,2
E01002218,9
E01002219,22
E01002220,3
E01002221,11
E01002222,1
E01002223,1
E01002224,1
E01002225,1
E01002226,15
E01002227,2
E01002228,1
E01002229,2
E01002230,1
E01002231,2
E01002232,6
E01002233,14
E01002234,5
E01002235,5
E01002236,8
E01002237,5
E01002238,7
E01002239,1
E01002240,5
E01002242,2
E01002243,4
E01002244,1
E01002245,4
E01002246,7
E01002247,10
E01002248,27
E01002250,1
E01002251,1
E01002257,1
E01002258,1
E01002261,9
E01002262,2
E01002263,3
E01002264,1
E01002266,1
E01002271,1
E01002272,1
E01002273,2
E01002274,3
E01002275,1
E01002276,1
E01002277,1
E01002279,1
E01002280,1
E01002281,2
E01002282,9
E01002284,4
E01002285,1
E01002287,4
E01002288,1
E01002289,1
E01002290,2
E01002291,2
E01002292,2
E01002294,1
E01002296,1
E01002297,2
E01002298,1
E01002299,2
E01002300,2
E01002301,1
E01002302,4
E01002303,2
E01002304,3
E01002305,2
E01002306,2
E01002308,3
E01002309,1
E01002310,3
E01002311,2
E01002312,1
E01002313,1
E01002314,4
E01002315,3
E01002316,4
E01002319,9
E01002321,3
E01002322,1
E01002324,1
E01002325,1
E01002326,5
E01002329,4
E01002330,5
E01002332,1
E01002333,1
E01002334,2
E01002335,1
E01002336,1
E01002337,1
E01002338,1
E01002339,2
E01002340,2
E01002342,4
E01002344,6
E01002345,14
E01002346,2
E01002347,3
E01002348,2
E01002350,9
E01002351,1
E01002352,2
E01002353,43
E01002354,6
E01002355,1
E01002356,182
E01002358,1
E01002359,1
E01002360,2
E01002361,39
E01002364,3
E01002365,3
E01002366,4
